tweet,processed_tweet,label,semantic_category
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",looovvvee kindl not dx cool fantast right,pos,books
Reading my kindle2...  Love it... Lee childs is good read.,read kindl love lee child good read,pos,books
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",ok first asses kindl fuck rock,pos,books
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),love kindl mine month never look back new big one huge no need remors :),pos,books
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),fair enough kindl think perfect :),pos,books
@richardebaker no. it is too big. I'm quite happy with the Kindle2.,no big quit happi kindl,pos,books
Fuck this economy. I hate aig and their non loan given asses.,fuck economi hate aig non loan given ass,neg,unlabeled
Jquery is my new best friend.,jqueri new best friend,pos,IT
Loves twitter,love twitter,pos,Twitter
how can you not love Obama? he makes jokes about himself.,not love obama make joke,pos,politics
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,check video presid obama white hous correspond dinner,neutral,politics
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",firmli believ obama pelosi zero desir civil charad slogan want destroy conservat,neg,politics
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",hous correspond dinner last_night whoopi barbara sherri went obama got stand ovat,pos,politics
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,watchin espnju seen new nike commer puppet lebronsh hilariouslmao,pos,Nike
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",dear nike stop flywir shit wast scienc ugli love,neg,Nike
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",lebron best athlet gener not time basketbal relat not want get inter-sport debat,pos,sports
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,talk guy last_night tell die hard spur fan also told hate lebron jame,neg,sports
i love lebron. http://bit.ly/PdHur,love lebron,pos,sports
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",lebron beast still cheer atil end,neg,sports
@Pmillzz lebron IS THE BOSS,lebron boss,pos,sports
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",lebron hometown hero lol love laker let us go cav lol,pos,politics
lebron and zydrunas are such an awesome duo,lebron zydruna awesom duo,pos,sports
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,lebron beast nobodi nba come even close,pos,sports
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,download app iphon much fun :-) liter app anyth,pos,mobile devices
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",good news call visa offic say everyth finewhat relief sick scam steal,pos,unlabeled
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),awesom come back via,pos,unlabeled
In montreal for a long weekend of R&amp;R. Much needed.,montreal long weekend much need,pos,cities
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,booz allen hamilton bad ass homegrown social collabor platform way cool ttiv,pos,unlabeled
[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,mluc custom innov award winner booz allen hamilton,pos,unlabeled
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",current use nikon love not much canon chose video featur mistak,pos,DSLR cameras
need suggestions for a good IR filter for my canon 40D ... got some? pls DM,need suggest good ir filter canon got pl dm,neutral,DSLR cameras
@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,check googl busi blip show second entri huh good ba,neutral,unlabeled
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",googl alway good place look mention work mustang dad,pos,unlabeled
Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,play android googl phone slide screen scare would break fucker fast still prefer iphon,neg,mobile devices
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,us plan resum militari tribun guantanamo bay time trial aig exec chrysler debt holder,neg,politics
omg so bored &amp; my tattoooos are so itchy!!  help! aha =),omg bore tattooo itchi help aha =),neg,unlabeled
I'm itchy and miserable!,itchi miser,neg,unlabeled
"@sekseemess no. I'm not itchy for now. Maybe later, lol.",no not itchi mayb later lol,neg,unlabeled
RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,love nerdi stanford human biolog video make miss school,pos,unlabeled
"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",bit crazi steep learn curv lyx realli good long doc anyth shorter would insan,pos,unlabeled
"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",listen danni_gokey aww amaz much :),pos,unlabeled
is going to sleep then on a bike ride:],go sleep bike ride :],pos,unlabeled
cant sleep... my tooth is aching.,not sleep tooth ach,neg,dentist
"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",blah blah blah old old no plan today go back sleep guess,neg,unlabeled
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",glad not bay breaker today freak degre san_francisco wtf,neg,cities
is in San Francisco at Bay to Breakers.,san_francisco bay breaker,neutral,cities
just landed at San Francisco,land san_francisco,neutral,cities
San Francisco today.  Any suggestions?,san_francisco today suggest,neutral,cities
?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,obama administr must stop bonus aig ponzi schemer,neg,politics
started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,start think citi realli deep go surviv turmoil go next aig,neg,unlabeled
ShaunWoo hate'n on AiG,shaunwoo hate'n aig,neg,unlabeled
@YarnThing you will not regret going to see Star Trek. It was AWESOME!,not regret go_see star_trek awesom,pos,movies
